Chromosome	RefPosition	273614N_S288C	322134S_S288C	378604X_S288C	AWRI796_S288C	S288C	UWOPS03_461_4_S288C	UWOPS05_217_3_S288C	UWOPS05_227_2_S288C	UWOPS83_787_3_S288C	UWOPS87_2421_S288C	YPS128_S288C	YPS163_S288C	YPS606_S288C
SC_CHRXIII	110000	15	32	32	41	91	32	32	32	26	23	32	40	32
SC_CHRXIII	120000	19	65	67	69	125	44	44	44	54	46	41	42	40
SC_CHRXIII	130000	4	27	59	65	142	61	61	61	41	42	66	68	58
SC_CHRXIII	140000	10	27	27	31	82	36	36	36	22	31	30	28	30
SC_CHRXIII	150000	68	23	27	15	130	59	59	60	49	43	50	44	50
SC_CHRXIII	160000	29	41	34	55	140	50	52	50	37	17	33	52	41
SC_CHRXIII	170000	48	51	38	11	128	57	57	57	16	51	56	54	56
SC_CHRXIII	180000	18	26	25	23	71	20	20	20	20	15	24	28	24
SC_CHRXIII	190000	31	29	55	51	134	54	54	54	51	35	34	35	34
SC_CHRXIII	200000	63	30	27	15	123	39	38	39	16	37	34	34	33
SC_CHRXIII	210000	60	31	16	16	116	54	54	54	43	56	50	49	50
SC_CHRXIII	220000	45	53	48	52	151	49	50	49	26	39	35	55	34
SC_CHRXIII	230000	22	64	39	64	133	46	46	46	46	55	34	47	33
SC_CHRXIII	240000	17	26	37	54	84	17	35	17	22	20	26	15	21
SC_CHRXIII	250000	33	32	34	42	89	31	30	31	20	20	13	23	13
SC_CHRXIII	260000	32	48	44	47	102	52	52	52	36	32	37	31	37
SC_CHRXIII	270000	41	59	58	63	122	29	27	29	17	22	19	34	20
SC_CHRXIII	280000	19	25	28	29	113	49	48	48	37	41	36	56	36
SC_CHRXIII	290000	38	46	38	45	103	37	37	37	26	29	22	19	22
SC_CHRXIII	300000	25	31	23	19	116	65	65	65	51	43	31	24	31
SC_CHRXIII	310000	18	34	11	14	130	57	58	57	46	31	37	39	37
SC_CHRXIII	320000	9	18	10	6	85	44	44	44	40	15	38	38	38
SC_CHRXIII	330000	6	38	14	10	109	56	56	56	51	22	57	40	57
SC_CHRXIII	340000	22	23	4	7	117	63	63	63	51	48	52	55	52
SC_CHRXIII	350000	7	29	16	10	78	45	41	45	34	45	36	33	36
SC_CHRXIII	360000	38	38	47	38	111	45	45	41	40	43	43	45	43
SC_CHRXIII	370000	53	52	51	51	101	40	40	40	36	58	55	51	55
SC_CHRXIII	380000	25	25	14	31	90	37	37	37	25	31	28	32	28
SC_CHRXIII	390000	56	50	25	58	116	46	45	46	30	34	44	42	44
SC_CHRXIII	400000	17	18	69	33	160	55	55	55	28	44	36	44	40
SC_CHRXIII	410000	30	20	11	10	98	53	53	53	46	46	43	42	43
SC_CHRXIII	420000	24	38	4	4	106	60	60	60	42	55	53	51	53
SC_CHRXIII	430000	34	66	41	39	181	72	72	72	57	63	64	96	64
SC_CHRXIII	440000	64	75	91	97	168	77	77	77	62	58	55	58	55
SC_CHRXIII	450000	20	27	47	29	133	55	55	55	39	40	49	41	49
SC_CHRXIII	460000	20	21	42	12	129	74	74	74	64	32	56	42	56
SC_CHRXIII	470000	18	16	41	15	91	43	43	43	40	25	41	41	41
SC_CHRXIII	480000	46	47	9	59	126	68	67	67	27	20	19	28	19
SC_CHRXIII	490000	69	51	42	73	142	65	65	65	54	48	15	27	16
SC_CHRXIII	500000	60	42	34	66	112	40	40	40	44	40	6	13	7
SC_CHRXIII	510000	65	53	40	62	154	78	78	78	55	35	55	57	55
SC_CHRXIII	520000	2	2	39	1	71	33	33	33	39	53	31	30	31
SC_CHRXIII	530000	3	10	30	20	101	53	53	53	44	31	47	38	48
SC_CHRXIII	540000	22	8	59	16	105	63	63	63	50	34	54	49	54
SC_CHRXIII	550000	26	24	45	28	94	49	49	49	40	29	45	46	44
SC_CHRXIII	560000	55	60	37	63	187	59	57	59	46	42	113	63	113
SC_CHRXIII	570000	53	53	29	56	145	55	55	55	42	41	33	55	33
SC_CHRXIII	580000	46	53	47	54	138	40	48	38	50	48	50	48	42
SC_CHRXIII	590000	28	36	47	35	112	37	38	37	34	42	49	58	49
SC_CHRXIII	600000	50	44	63	48	183	54	58	59	27	28	75	65	72
SC_CHRXIII	610000	3	8	34	7	104	47	46	48	30	14	52	50	52
SC_CHRXIII	620000	8	11	18	14	131	67	67	67	60	42	60	56	60
SC_CHRXIII	630000	19	17	17	19	94	26	26	26	33	23	32	39	33
SC_CHRXIII	640000	27	29	27	27	142	70	70	70	42	37	69	65	68
SC_CHRXIII	650000	25	32	26	28	107	51	49	51	39	30	48	52	48
SC_CHRXIII	660000	17	18	28	23	114	58	56	58	38	27	44	48	44
SC_CHRXIII	670000	4	14	35	21	102	56	56	56	28	22	38	28	38
SC_CHRXIII	680000	23	29	32	28	106	44	45	44	30	25	45	39	45
SC_CHRXIII	690000	25	28	48	20	122	57	57	57	39	48	61	59	61
SC_CHRXIII	700000	25	19	86	19	164	87	87	87	89	22	84	78	84
SC_CHRXIII	710000	30	13	58	32	144	79	44	77	58	26	63	64	62
SC_CHRXIII	720000	19	4	44	11	128	68	68	68	35	48	46	57	46
SC_CHRXIII	730000	21	8	42	14	110	58	58	58	41	39	33	27	33
SC_CHRXIII	740000	8	7	57	5	98	64	64	64	35	14	61	57	61
SC_CHRXIII	750000	20	27	41	18	196	142	141	141	72	37	74	76	75
SC_CHRXIII	760000	19	13	47	11	190	120	120	120	112	116	112	114	115
SC_CHRXIII	770000	28	11	14	9	157	99	99	99	87	87	89	93	89
SC_CHRXIII	780000	13	11	11	12	114	59	59	59	41	51	53	55	53
SC_CHRXIII	790000	6	17	2	4	127	74	74	74	76	70	68	59	68
SC_CHRXIII	800000	1	16	4	4	237	123	133	133	112	126	118	109	118
SC_CHRXIII	810000	7	10	14	6	123	70	71	70	69	69	68	56	68
SC_CHRXIII	820000	10	17	8	13	135	77	75	76	72	57	71	70	71
SC_CHRXIII	830000	15	25	12	12	107	59	57	60	49	40	50	49	50
SC_CHRXIII	840000	44	39	39	48	138	58	58	58	38	54	43	39	43
SC_CHRXIII	850000	25	43	55	33	124	53	54	54	44	52	48	45	48
SC_CHRXIII	860000	30	23	54	29	115	51	50	50	40	37	34	43	34
SC_CHRXIII	870000	34	42	34	36	85	52	52	52	40	35	29	27	29
SC_CHRXIII	880000	43	20	9	43	89	29	29	29	20	40	28	33	28
SC_CHRXIII	890000	16	17	22	20	111	70	70	70	34	35	28	30	28
SC_CHRXIII	900000	128	101	118	64	377	236	237	237	99	122	44	39	44
SC_CHRXIII	910000	40	31	20	41	191	105	105	105	46	70	72	71	76
SC_CHRXIII	920000	7	0	0	0	7	0	0	0	0	0	0	0	0
SC_CHRX	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC_CHRX	10000	24	14	9	0	26	5	0	0	6	0	3	5	3
SC_CHRX	20000	165	177	35	168	508	302	221	271	218	191	72	74	67
SC_CHRX	30000	93	93	61	95	289	171	73	172	55	89	59	54	59
SC_CHRX	40000	42	43	5	48	91	46	40	46	21	40	23	26	23
SC_CHRX	50000	70	70	0	71	160	74	74	77	34	59	33	49	33
SC_CHRX	60000	51	53	0	52	200	83	82	83	56	79	53	103	53
SC_CHRX	70000	54	58	3	54	165	91	91	91	43	88	51	58	51
SC_CHRX	80000	88	86	2	91	170	63	63	63	38	55	48	53	48
SC_CHRX	90000	75	54	1	79	144	73	73	73	37	60	28	28	28
SC_CHRX	100000	57	20	2	58	137	79	78	79	42	69	38	31	38
SC_CHRX	110000	85	53	27	89	205	102	102	102	47	47	39	39	39
SC_CHRX	120000	78	43	73	87	214	54	54	54	24	45	63	83	63
SC_CHRX	130000	37	53	49	39	151	99	102	99	90	89	62	49	62
SC_CHRX	140000	38	44	38	40	168	103	103	103	63	68	83	80	83
SC_CHRX	150000	29	37	55	34	126	66	65	66	53	55	49	42	49
SC_CHRX	160000	55	18	35	53	130	64	60	64	40	42	45	51	45
SC_CHRX	170000	14	25	26	14	92	59	59	59	58	57	44	39	44
SC_CHRX	180000	38	28	37	30	121	67	67	68	46	48	46	46	46
SC_CHRX	190000	28	26	29	28	81	53	50	53	23	54	24	25	24
SC_CHRX	200000	18	46	12	49	122	56	56	56	25	60	45	38	45
SC_CHRX	210000	78	38	17	26	152	68	62	71	66	62	74	66	74
SC_CHRX	220000	41	21	33	22	136	67	64	68	42	64	53	56	53
SC_CHRX	230000	91	9	53	2	154	90	89	92	67	93	76	64	76
SC_CHRX	240000	75	12	17	13	173	109	105	107	65	106	70	69	70
SC_CHRX	250000	67	11	14	8	190	137	136	137	52	145	59	60	59
SC_CHRX	260000	52	12	22	12	129	68	67	68	56	64	54	56	54
SC_CHRX	270000	27	6	16	11	105	46	41	50	39	33	39	40	39
SC_CHRX	280000	30	40	29	11	118	63	63	63	51	58	51	48	51
SC_CHRX	290000	68	75	42	21	208	100	100	100	112	93	105	74	105
SC_CHRX	300000	47	9	11	13	137	67	67	67	37	33	51	54	51
SC_CHRX	310000	54	34	46	13	129	59	58	59	41	26	58	61	58
SC_CHRX	320000	40	69	40	57	166	79	79	79	40	54	48	43	48
SC_CHRX	330000	29	11	25	65	163	60	60	60	50	61	30	32	30
SC_CHRX	340000	15	20	14	62	158	55	55	55	32	54	37	56	37
SC_CHRX	350000	27	26	25	54	174	49	58	50	43	39	52	52	50
SC_CHRX	360000	18	38	33	52	104	40	41	40	33	36	39	42	39
SC_CHRX	370000	10	44	33	67	160	37	43	37	36	44	66	70	43
SC_CHRX	380000	16	48	53	53	118	45	46	45	24	36	28	23	28
SC_CHRX	390000	36	30	32	31	139	59	62	62	29	66	48	54	48
SC_CHRX	400000	24	61	44	45	147	41	39	39	22	55	32	34	39
SC_CHRX	410000	42	33	34	49	104	48	44	60	29	32	23	15	22
SC_CHRX	420000	14	19	14	30	127	37	36	36	24	31	23	63	23
SC_CHRX	430000	11	37	23	44	106	41	40	41	26	26	26	45	26
SC_CHRX	440000	45	20	33	22	107	45	44	44	50	35	45	58	45
SC_CHRX	450000	16	30	3	41	96	28	28	28	25	23	27	33	27
SC_CHRX	460000	38	30	31	44	127	48	48	48	38	48	47	53	48
SC_CHRX	470000	17	14	17	15	44	11	10	9	8	12	5	8	5
SC_CHRX	480000	23	25	29	33	78	40	40	40	16	5	8	10	8
SC_CHRX	490000	8	34	11	40	88	37	37	37	18	13	17	30	17
SC_CHRX	500000	26	68	24	71	140	54	54	54	15	20	33	40	33
SC_CHRX	510000	42	62	43	67	155	86	86	86	40	36	44	44	45
SC_CHRX	520000	46	41	53	41	154	61	62	62	64	49	59	45	60
SC_CHRX	530000	40	35	39	50	118	50	51	51	44	49	46	50	46
SC_CHRX	540000	33	71	38	69	145	50	50	50	35	35	46	58	46
SC_CHRX	550000	60	17	39	23	116	51	51	52	61	36	63	55	63
SC_CHRX	560000	58	12	18	11	101	55	55	55	45	22	44	32	43
SC_CHRX	570000	34	43	48	44	124	64	64	64	39	37	38	33	38
SC_CHRX	580000	43	39	26	79	166	76	76	76	53	46	36	22	36
SC_CHRX	590000	23	13	16	47	124	49	49	49	44	31	38	45	38
SC_CHRX	600000	10	9	10	98	224	121	122	122	56	56	30	52	30
SC_CHRX	610000	39	43	54	11	157	63	62	62	41	38	54	88	54
SC_CHRX	620000	55	36	38	71	139	59	57	57	53	46	44	43	45
SC_CHRX	630000	9	10	41	16	97	50	50	50	37	33	40	39	40
SC_CHRX	640000	32	23	48	25	148	77	77	77	71	36	74	76	74
SC_CHRX	650000	22	49	57	23	160	85	85	85	63	18	65	78	66
SC_CHRX	660000	50	44	45	40	122	61	61	61	58	41	53	52	53
SC_CHRX	670000	15	20	18	10	89	43	39	42	35	31	46	46	46
SC_CHRX	680000	17	28	24	13	87	39	39	40	33	28	43	46	43
SC_CHRX	690000	13	7	13	7	82	39	39	39	38	27	33	37	33
SC_CHRX	700000	36	33	35	43	126	59	55	55	58	55	51	56	51
SC_CHRX	710000	4	9	15	20	120	52	26	26	55	47	36	50	39
SC_CHRX	720000	7	10	28	19	118	64	64	64	64	66	73	76	73
SC_CHRVII	0	34	42	33	35	138	42	35	46	48	77	57	38	57
SC_CHRVII	10000	256	251	256	260	350	170	131	170	68	257	47	50	47
SC_CHRVII	20000	75	79	80	81	189	90	90	90	27	76	61	85	61
SC_CHRVII	30000	12	14	14	10	118	70	70	70	52	25	71	75	71
SC_CHRVII	40000	31	33	28	31	107	49	49	49	32	22	48	42	48
SC_CHRVII	50000	32	34	32	34	112	42	42	42	36	22	35	44	35
SC_CHRVII	60000	23	23	26	27	96	53	53	53	43	12	48	42	48
SC_CHRVII	70000	60	62	64	65	159	70	77	70	40	56	56	58	56
SC_CHRVII	80000	46	36	41	43	115	39	39	39	38	37	42	31	42
SC_CHRVII	90000	46	34	52	39	120	50	49	50	43	31	43	47	43
SC_CHRVII	100000	58	27	66	70	137	71	71	71	53	27	44	56	44
SC_CHRVII	110000	76	6	53	69	140	42	48	48	21	45	43	30	41
SC_CHRVII	120000	91	74	91	93	171	62	61	62	54	86	31	35	31
SC_CHRVII	130000	108	108	83	109	159	32	71	32	23	108	13	29	13
SC_CHRVII	140000	91	106	70	97	193	70	86	69	61	95	53	65	53
SC_CHRVII	150000	14	26	6	13	149	96	98	96	74	27	95	102	100
SC_CHRVII	160000	32	25	24	38	101	57	57	57	49	31	48	48	48
SC_CHRVII	170000	53	47	50	60	146	78	75	78	48	50	61	57	61
SC_CHRVII	180000	45	44	49	49	137	85	85	85	62	51	66	62	66
SC_CHRVII	190000	39	60	40	45	226	99	99	99	50	42	63	122	63
SC_CHRVII	200000	64	62	63	66	204	119	120	122	44	42	79	80	79
SC_CHRVII	210000	54	49	45	62	140	82	81	82	53	53	66	68	66
SC_CHRVII	220000	9	5	44	2	110	48	52	48	41	41	63	22	63
SC_CHRVII	230000	8	16	60	4	117	51	51	51	50	50	52	53	52
SC_CHRVII	240000	6	14	39	4	116	23	23	24	27	27	23	56	23
SC_CHRVII	250000	14	27	42	14	112	49	49	49	44	44	48	63	48
SC_CHRVII	260000	3	54	3	3	94	61	58	61	50	49	49	56	49
SC_CHRVII	270000	17	63	20	18	123	71	71	71	56	57	62	60	62
SC_CHRVII	280000	11	67	11	9	163	79	79	79	72	72	68	74	68
SC_CHRVII	290000	18	42	20	21	84	43	43	43	21	41	36	34	36
SC_CHRVII	300000	28	64	37	42	122	63	62	62	14	67	48	49	48
SC_CHRVII	310000	27	62	28	22	151	59	59	59	2	60	69	72	69
SC_CHRVII	320000	48	169	22	3	320	207	207	206	0	156	174	164	177
SC_CHRVII	330000	28	45	46	12	126	56	56	56	2	54	55	56	55
SC_CHRVII	340000	15	40	10	8	108	44	43	44	2	36	49	48	49
SC_CHRVII	350000	33	43	30	31	138	58	58	58	61	48	52	54	52
SC_CHRVII	360000	21	22	19	28	154	79	78	79	54	38	66	60	66
SC_CHRVII	370000	19	24	20	25	112	55	55	55	35	56	62	57	62
SC_CHRVII	380000	8	26	6	9	81	45	45	45	36	26	42	42	42
SC_CHRVII	390000	38	45	43	44	156	65	65	65	65	49	80	85	80
SC_CHRVII	400000	25	20	32	31	133	31	28	31	20	40	38	39	27
SC_CHRVII	410000	46	37	50	48	160	69	69	68	39	31	31	51	31
SC_CHRVII	420000	24	31	19	9	139	71	72	71	62	61	65	61	65
SC_CHRVII	430000	22	19	25	22	148	93	95	95	70	67	72	70	72
SC_CHRVII	440000	28	35	30	31	332	79	79	79	68	62	69	269	69
SC_CHRVII	450000	43	32	30	44	92	41	41	42	16	17	22	30	22
SC_CHRVII	460000	47	39	29	47	117	36	35	36	36	28	30	54	30
SC_CHRVII	470000	39	37	31	40	98	53	53	53	30	35	36	36	36
SC_CHRVII	480000	37	36	2	38	74	31	32	31	18	16	24	20	24
SC_CHRVII	490000	72	61	19	63	129	41	41	41	20	25	19	22	19
SC_CHRVII	500000	49	47	28	50	100	27	27	27	17	18	26	26	26
SC_CHRVII	510000	24	23	29	22	121	67	67	67	36	40	45	40	45
SC_CHRVII	520000	39	37	46	43	123	49	50	50	40	41	43	38	43
SC_CHRVII	530000	26	25	21	30	68	27	24	23	16	14	15	23	15
SC_CHRVII	540000	60	55	18	55	113	56	55	55	22	32	26	26	26
SC_CHRVII	550000	33	33	20	39	113	42	42	42	25	35	29	39	29
SC_CHRVII	560000	30	24	14	30	64	41	28	27	11	9	7	9	4
SC_CHRVII	570000	8	10	45	9	88	43	43	43	33	38	39	35	39
SC_CHRVII	580000	12	23	25	11	133	73	72	72	60	42	56	76	56
SC_CHRVII	590000	7	19	8	15	132	71	71	71	61	55	62	69	62
SC_CHRVII	600000	30	3	4	7	138	67	67	67	41	47	55	46	55
SC_CHRVII	610000	61	5	34	7	124	48	48	48	32	30	34	35	34
SC_CHRVII	620000	39	24	74	10	156	72	72	72	42	57	58	52	58
SC_CHRVII	630000	10	15	47	12	132	68	68	68	29	39	54	55	54
SC_CHRVII	640000	7	9	23	6	108	62	62	62	54	53	51	48	51
SC_CHRVII	650000	26	19	69	16	175	83	83	83	70	84	91	94	91
SC_CHRVII	660000	9	15	52	10	125	80	80	80	63	67	71	69	71
SC_CHRVII	670000	16	24	33	9	127	64	59	64	65	54	62	60	62
SC_CHRVII	680000	48	19	28	3	127	65	64	65	47	58	57	57	57
SC_CHRVII	690000	54	7	6	6	99	56	56	56	46	46	46	43	46
SC_CHRVII	700000	16	3	4	6	94	53	56	52	27	31	30	34	31
SC_CHRVII	710000	12	11	9	4	121	59	58	59	12	89	68	79	68
SC_CHRVII	720000	7	14	10	12	106	75	75	75	43	58	62	55	62
SC_CHRVII	730000	4	6	24	5	155	91	91	91	63	78	92	86	92
SC_CHRVII	740000	9	51	10	15	157	83	82	83	83	83	83	85	82
SC_CHRVII	750000	4	22	44	5	116	65	65	65	50	47	54	55	54
SC_CHRVII	760000	6	46	22	10	114	66	67	66	49	49	56	60	57
SC_CHRVII	770000	4	7	79	6	195	96	97	96	88	86	90	95	90
SC_CHRVII	780000	35	33	70	32	182	76	76	76	59	62	64	88	64
SC_CHRVII	790000	67	32	67	74	139	63	63	63	19	33	38	39	38
SC_CHRVII	800000	51	40	61	64	153	46	46	46	23	49	26	27	25
SC_CHRVII	810000	1	10	4	16	29	10	11	10	11	5	1	7	1
SC_CHRVII	820000	18	9	0	14	80	43	43	44	32	2	23	31	24
SC_CHRVII	830000	54	28	35	25	126	60	60	60	44	28	50	50	47
SC_CHRVII	840000	47	25	60	7	128	68	68	68	63	11	70	65	70
SC_CHRVII	850000	23	29	22	71	158	58	57	57	28	68	42	38	42
SC_CHRVII	860000	5	36	31	74	152	50	51	50	36	65	33	27	33
SC_CHRVII	870000	35	48	43	65	132	38	37	42	42	41	40	47	45
SC_CHRVII	880000	30	60	32	69	206	67	67	68	35	37	33	63	33
SC_CHRVII	890000	51	39	45	45	239	166	166	166	29	28	36	27	35
SC_CHRVII	900000	53	41	46	44	192	102	102	102	44	48	51	60	51
SC_CHRVII	910000	44	67	61	74	207	82	99	82	45	25	39	50	39
SC_CHRVII	920000	27	21	27	20	108	48	47	49	22	28	31	39	31
SC_CHRVII	930000	37	25	27	30	140	80	80	80	69	68	64	66	64
SC_CHRVII	940000	21	40	35	46	151	83	83	83	51	57	54	38	54
SC_CHRVII	950000	82	84	92	88	181	77	76	77	61	64	78	82	78
SC_CHRVII	960000	17	17	17	17	117	79	79	79	60	47	61	71	61
SC_CHRVII	970000	21	18	23	22	109	66	66	66	46	53	53	59	53
SC_CHRVII	980000	80	74	79	79	144	86	89	86	84	66	85	50	85
SC_CHRVII	990000	91	62	66	92	174	42	42	42	42	59	57	61	57
SC_CHRVII	1000000	62	56	60	67	146	42	42	42	46	60	57	64	57
SC_CHRVII	1010000	7	16	27	11	119	46	47	46	55	44	50	53	50
SC_CHRVII	1020000	5	18	13	13	126	71	71	71	37	40	42	41	42
SC_CHRVII	1030000	9	15	7	11	101	55	55	55	34	56	39	43	54
SC_CHRVII	1040000	13	14	18	23	131	68	68	68	12	34	1	37	31
SC_CHRVII	1050000	46	42	46	57	122	45	45	45	22	23	35	44	35
SC_CHRVII	1060000	62	68	73	75	156	53	53	53	38	48	40	41	46
SC_CHRVII	1070000	70	67	75	0	151	84	67	79	16	43	14	18	15
SC_CHRVII	1080000	0	1	0	4	6	0	0	0	0	1	0	0	0
SC_CHRIV	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC_CHRIV	10000	10	3	1	3	36	22	22	22	0	19	28	28	28
SC_CHRIV	20000	76	7	33	6	178	109	109	109	86	91	96	70	96
SC_CHRIV	30000	13	6	16	11	103	56	56	56	37	32	36	33	36
SC_CHRIV	40000	28	29	30	28	114	44	44	44	37	48	49	44	49
SC_CHRIV	50000	9	7	38	13	133	68	69	68	47	36	51	48	56
SC_CHRIV	60000	57	57	39	63	156	80	80	80	45	53	48	44	49
SC_CHRIV	70000	65	62	49	66	153	51	51	51	35	58	36	37	36
SC_CHRIV	80000	89	88	77	94	217	81	81	81	57	95	57	78	57
SC_CHRIV	90000	57	57	58	61	129	31	31	31	19	40	27	22	27
SC_CHRIV	100000	66	58	73	74	156	51	51	51	26	55	36	44	36
SC_CHRIV	110000	60	58	67	64	120	42	42	42	31	33	20	25	20
SC_CHRIV	120000	84	88	31	88	138	15	15	15	80	22	23	26	23
SC_CHRIV	130000	38	33	39	41	104	28	28	28	18	24	26	28	26
SC_CHRIV	140000	40	42	41	44	101	43	42	42	44	34	41	31	41
SC_CHRIV	150000	68	40	53	73	166	43	42	41	42	40	52	64	52
SC_CHRIV	160000	31	32	30	33	100	40	40	40	33	22	39	34	39
SC_CHRIV	170000	65	50	38	55	127	48	48	48	26	35	30	31	30
SC_CHRIV	180000	50	47	23	47	102	39	36	39	19	25	41	37	41
SC_CHRIV	190000	52	53	26	51	179	37	37	37	17	34	11	92	11
SC_CHRIV	200000	38	32	9	30	72	18	18	18	6	24	33	22	33
SC_CHRIV	210000	24	68	16	70	148	54	54	54	39	58	27	40	27
SC_CHRIV	220000	4	53	6	60	92	43	43	43	47	47	25	29	25
SC_CHRIV	230000	59	67	43	64	128	59	59	59	58	40	57	60	57
SC_CHRIV	240000	60	34	63	34	147	76	57	76	56	56	71	69	71
SC_CHRIV	250000	45	54	46	46	134	61	58	61	54	27	53	54	53
SC_CHRIV	260000	66	55	47	57	129	53	53	53	54	35	45	49	45
SC_CHRIV	270000	34	52	51	45	132	38	38	38	52	29	33	35	33
SC_CHRIV	280000	39	59	54	66	116	44	44	44	52	38	43	40	43
SC_CHRIV	290000	52	58	59	54	116	49	52	49	35	50	37	34	37
SC_CHRIV	300000	44	52	48	56	122	60	60	60	18	24	22	24	22
SC_CHRIV	310000	16	12	8	15	111	67	67	67	57	55	66	66	66
SC_CHRIV	320000	10	8	5	10	126	70	70	70	68	70	75	72	75
SC_CHRIV	330000	41	7	13	7	155	53	53	53	57	55	58	107	58
SC_CHRIV	340000	53	5	19	4	114	68	69	69	54	60	69	56	69
SC_CHRIV	350000	53	22	43	16	147	104	104	104	66	65	82	93	82
SC_CHRIV	360000	21	28	19	31	111	38	38	38	25	34	26	33	26
SC_CHRIV	370000	79	77	58	25	166	87	87	87	70	57	80	84	80
SC_CHRIV	380000	54	41	46	25	196	69	92	76	26	48	62	50	50
SC_CHRIV	390000	53	54	10	12	152	72	72	72	50	53	60	79	60
SC_CHRIV	400000	62	14	6	7	127	65	65	65	58	50	57	55	57
SC_CHRIV	410000	43	18	5	7	121	71	72	71	47	50	50	42	50
SC_CHRIV	420000	50	25	12	10	137	71	71	71	61	65	65	68	65
SC_CHRIV	430000	66	35	0	55	200	117	117	117	80	85	76	80	75
SC_CHRIV	440000	63	34	60	43	133	57	56	57	58	54	43	43	44
SC_CHRIV	450000	38	26	21	14	74	41	41	41	32	36	32	21	32
SC_CHRIV	460000	26	30	36	41	102	54	54	54	32	34	33	27	33
SC_CHRIV	470000	38	24	25	31	125	61	61	61	42	11	41	25	42
SC_CHRIV	480000	51	19	28	14	137	53	53	53	49	31	49	75	50
SC_CHRIV	490000	24	5	5	7	67	40	40	40	22	6	22	23	22
SC_CHRIV	500000	25	7	15	20	137	75	75	75	39	24	51	56	51
SC_CHRIV	510000	61	4	2	14	123	58	57	43	60	64	71	49	69
SC_CHRIV	520000	19	201	73	15	681	450	456	458	605	437	340	373	340
SC_CHRIV	530000	4	95	52	26	288	125	125	128	121	131	135	223	144
SC_CHRIV	540000	55	13	33	19	128	51	52	52	41	48	54	48	54
SC_CHRIV	550000	14	0	18	15	116	49	49	49	41	56	57	48	57
SC_CHRIV	560000	48	8	16	14	114	62	62	62	47	43	47	54	47
SC_CHRIV	570000	58	44	43	29	180	67	66	67	62	59	59	74	59
SC_CHRIV	580000	72	54	32	61	156	69	69	69	62	69	80	75	80
SC_CHRIV	590000	38	34	87	41	190	101	101	101	87	65	94	92	94
SC_CHRIV	600000	42	44	23	44	140	70	71	71	64	65	61	61	62
SC_CHRIV	610000	13	14	7	15	159	87	86	86	97	96	98	98	98
SC_CHRIV	620000	10	17	7	18	178	81	81	81	66	57	68	102	68
SC_CHRIV	630000	6	9	5	12	76	48	48	48	27	26	43	31	43
SC_CHRIV	640000	28	10	3	5	70	39	39	38	26	28	33	34	33
SC_CHRIV	650000	55	4	6	5	121	70	70	70	65	59	57	63	57
SC_CHRIV	660000	18	5	2	16	129	74	74	74	59	50	61	61	60
SC_CHRIV	670000	50	14	16	5	135	76	76	76	70	51	69	73	69
SC_CHRIV	680000	14	24	11	12	153	98	98	98	78	75	93	96	93
SC_CHRIV	690000	13	9	12	10	137	81	81	81	77	81	74	78	74
SC_CHRIV	700000	3	27	7	5	132	82	82	84	67	50	55	53	55
SC_CHRIV	710000	16	95	25	20	188	121	121	121	96	96	102	88	101
SC_CHRIV	720000	51	27	47	52	130	39	46	46	28	21	29	35	29
SC_CHRIV	730000	28	10	30	30	77	26	26	26	17	11	14	26	15
SC_CHRIV	740000	43	39	49	48	83	30	30	30	12	18	25	24	25
SC_CHRIV	750000	172	27	60	34	293	133	19	19	115	119	12	19	48
SC_CHRIV	760000	17	22	41	19	96	42	44	43	31	23	31	40	32
SC_CHRIV	770000	1	7	38	8	117	70	70	70	56	65	66	66	66
SC_CHRIV	780000	5	6	21	3	95	50	50	50	37	40	40	45	40
SC_CHRIV	790000	7	7	32	6	96	47	47	47	39	53	42	48	42
SC_CHRIV	800000	4	4	26	7	96	55	56	56	52	55	57	54	57
SC_CHRIV	810000	17	14	17	18	101	40	40	40	43	26	32	38	32
SC_CHRIV	820000	40	36	38	40	92	44	46	46	39	34	48	36	48
SC_CHRIV	830000	11	19	19	11	93	57	57	57	40	40	43	35	43
SC_CHRIV	840000	12	18	59	16	121	55	55	55	52	57	62	68	62
SC_CHRIV	850000	6	55	52	11	137	66	66	66	55	54	59	58	59
SC_CHRIV	860000	30	31	51	31	118	42	42	42	38	47	48	49	48
SC_CHRIV	870000	21	10	19	4	44	17	17	17	23	16	18	18	18
SC_CHRIV	880000	30	17	35	10	69	32	32	32	31	30	30	33	30
SC_CHRIV	890000	19	31	37	7	135	74	74	74	60	44	55	55	55
SC_CHRIV	900000	0	16	3	6	103	54	54	54	35	49	59	48	60
SC_CHRIV	910000	4	17	3	11	133	66	66	66	53	49	65	61	65
SC_CHRIV	920000	0	21	18	27	108	59	59	59	56	52	62	63	62
SC_CHRIV	930000	0	26	3	27	102	58	58	58	51	48	53	48	53
SC_CHRIV	940000	1	12	0	9	115	50	47	50	64	41	61	53	61
SC_CHRIV	950000	0	24	27	11	128	59	59	59	47	53	65	68	65
SC_CHRIV	960000	0	18	38	20	100	52	51	51	43	33	35	37	35
SC_CHRIV	970000	25	11	73	2	115	60	60	60	65	65	67	52	67
SC_CHRIV	980000	162	6	34	0	170	6	6	6	34	31	24	36	24
SC_CHRIV	990000	37	5	59	4	150	47	47	48	57	72	61	100	61
